08-Jul-24 03:52:10 :  completed - Julia Holter (US)
08-Jul-24 03:52:10 :  completed - The Raveonettes
08-Jul-24 03:52:10 :  completed - The Raveonettes
08-Jul-24 03:52:11 :  completed - The Raveonettes
08-Jul-24 03:52:11 :  completed - Signe Svendsen & Kajsa Vala
08-Jul-24 03:52:11 :  completed - Fallulah
08-Jul-24 03:52:11 :  completed - Signe Svendsen & Kajsa Vala
08-Jul-24 03:52:11 :  completed - The Raveonettes
08-Jul-24 03:52:12 :  completed - Unmack
08-Jul-24 03:52:12 :  completed - OTOOTO
08-Jul-24 03:52:12 :  completed - MonoNeon (US)
08-Jul-24 03:52:12 :  completed - Alberte Winding
08-Jul-24 03:52:12 :  completed - Nabiha
08-Jul-24 03:52:12 :  completed - Larry Dean (SCT)
08-Jul-24 03:52:13 :  completed - Baal
08-Jul-24 03:52:13 :  completed - Baal
08-Jul-24 03:52:13 :  completed - Alberte Winding
08-Jul-24 03:52:13 :  completed - Baal
08-Jul-24 03:52:13 :  completed - Huxi Bach
08-Jul-24 03:52:14 :  completed - Anne Bakland
08-Jul-24 03:52:14 :  completed - Baal
08-Jul-24 03:52:14 :  completed - Nymalet
08-Jul-24 03:52:14 :  completed - Nymalet
08-Jul-24 03:52:14 :  completed - Martin NÃ¸rgaard
08-Jul-24 03:52:14 :  completed - Martin NÃ¸rgaard
08-Jul-24 03:52:14 :  completed - The Comedy Store
08-Jul-24 03:52:14 :  completed - Martin NÃ¸rgaard
08-Jul-24 03:52:15 :  completed - Tomas HÃ¸ffding
08-Jul-24 03:52:15 :  completed - Natasha Brock
08-Jul-24 03:52:15 :  completed - Lasse Rimmer
08-Jul-24 03:52:15 :  completed - Tomas HÃ¸ffding
08-Jul-24 03:52:15 :  completed - total: 108
08-Jul-24 03:52:15 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 03:52:15 :  Starting  - (culturebox.py) scraper
08-Jul-24 03:52:20 :  completed - BLACK BOX - FRI 12 JULY 2024
08-Jul-24 03:52:21 :  completed - BLACK BOX - SAT 13 JULY 2024
08-Jul-24 03:52:22 :  completed - BLACK BOX - FRI 19 JULY 2024
08-Jul-24 03:52:24 :  completed - BLACK BOX - SAT 20 JULY 2024
08-Jul-24 03:52:25 :  completed - BLACK BOX - FRI 26 JULY 2024
08-Jul-24 03:52:27 :  completed - BLACK BOX - SAT 27 JULY 2024
08-Jul-24 03:52:28 :  completed - BLACK BOX - FRI 2 AUGUST 2024
08-Jul-24 03:52:29 :  completed - BLACK BOX - SAT 3 AUGUST 2024
08-Jul-24 03:52:31 :  completed - BLACK BOX - FRI 9 AUGUST 2024
08-Jul-24 03:52:32 :  completed - BLACK BOX - SAT 10 AUGUST 2024
08-Jul-24 03:52:33 :  completed - BLACK BOX - FRI 23 AUGUST 2024
08-Jul-24 03:52:35 :  completed - BLACK BOX - SAT 24 AUGUST 2024
08-Jul-24 03:52:35 :  completed - total: 12
08-Jul-24 03:52:35 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 03:52:35 :  Starting  - (loppen.py) scraper
08-Jul-24 03:52:37 :  completed - Glyders
08-Jul-24 03:52:38 :  completed - Frigjort Festival 2024 fredag
08-Jul-24 03:52:39 :  completed - Frigjort Festival 2024 lørdag
08-Jul-24 03:52:41 :  completed - Gustaf
08-Jul-24 03:52:42 :  completed - David Ritschard
08-Jul-24 03:52:43 :  completed - Januar
08-Jul-24 03:52:44 :  completed - Library Card
08-Jul-24 03:52:45 :  completed - Causa Sui 2024
08-Jul-24 03:52:46 :  completed - Liturgy
08-Jul-24 03:52:47 :  completed - The Darts 2024
08-Jul-24 03:52:48 :  completed - Maustetytöt
08-Jul-24 03:52:49 :  completed - Alex Warren
08-Jul-24 03:52:50 :  completed - The Mukherjee Development
08-Jul-24 03:52:51 :  completed - Amanda Bergman
08-Jul-24 03:52:52 :  completed - GIRL & GIRL
08-Jul-24 03:52:53 :  completed - Bodega
08-Jul-24 03:52:54 :  completed - Filuka
08-Jul-24 03:52:55 :  completed - J Bernardt
08-Jul-24 03:52:56 :  completed - aptbs-2024
08-Jul-24 03:52:57 :  completed - The Headhunters
08-Jul-24 03:52:58 :  completed - Hjalte Ross
08-Jul-24 03:52:59 :  completed - Pak
08-Jul-24 03:53:00 :  completed - trust
08-Jul-24 03:53:01 :  completed - CTD Matinee show
08-Jul-24 03:53:02 :  completed - Crash Test Dummies
08-Jul-24 03:53:03 :  completed - The Messthetics
08-Jul-24 03:53:04 :  completed - Crows
08-Jul-24 03:53:05 :  completed - Total Hip Replacement
08-Jul-24 03:53:06 :  completed - Royel Otis
08-Jul-24 03:53:07 :  completed - DUMMY
08-Jul-24 03:53:09 :  completed - Jonny Hefty & Jøden
08-Jul-24 03:53:10 :  completed - Sasha Adrian
08-Jul-24 03:53:11 :  completed - Bad Nerves
08-Jul-24 03:53:12 :  completed - Nadine Shah
08-Jul-24 03:53:13 :  completed - Personal Trainer
08-Jul-24 03:53:14 :  completed - METZ 2024
08-Jul-24 03:53:15 :  completed - Shannon and the Clams
08-Jul-24 03:53:16 :  completed - The Sheepdogs
08-Jul-24 03:53:17 :  completed - EARLY JAMES
08-Jul-24 03:53:17 :  completed - total: 39
08-Jul-24 03:53:17 : -----------------------------------------------------------------------------------------------------------------
08-Jul-24 03:53:17 :  Starting  - (pumpehuset.py) scraper
08-Jul-24 03:53:21 :  completed - Electric Sun Fest
08-Jul-24 03:53:21 :  completed - Electric Sun Fest
08-Jul-24 03:53:21 :  completed - Babasónicos
08-Jul-24 03:53:21 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:22 :  completed - Ari Abdul
08-Jul-24 03:53:22 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:23 :  completed - Soulfly
08-Jul-24 03:53:23 :  completed - Terror + Lifesick
08-Jul-24 03:53:23 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:24 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:25 :  completed - Babasónicos
08-Jul-24 03:53:25 :  completed - Electric Sun Fest
08-Jul-24 03:53:25 :  completed - Electric Sun Fest
08-Jul-24 03:53:25 :  completed - Soulfly
08-Jul-24 03:53:25 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:25 :  completed - Terror + Lifesick
08-Jul-24 03:53:25 :  completed - Ari Abdul
08-Jul-24 03:53:25 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:26 :  completed - Babasónicos
08-Jul-24 03:53:26 :  completed - Electric Sun Fest
08-Jul-24 03:53:27 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:27 :  completed - Electric Sun Fest
08-Jul-24 03:53:27 :  completed - Soulfly
08-Jul-24 03:53:27 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:27 :  completed - Terror + Lifesick
08-Jul-24 03:53:27 :  completed - Ari Abdul
08-Jul-24 03:53:27 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:28 :  completed - Electric Sun Fest
08-Jul-24 03:53:28 :  completed - Terror + Lifesick
08-Jul-24 03:53:28 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:28 :  completed - Babasónicos
08-Jul-24 03:53:28 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:28 :  completed - Ari Abdul
08-Jul-24 03:53:28 :  completed - Soulfly
08-Jul-24 03:53:28 :  completed - Electric Sun Fest
08-Jul-24 03:53:28 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:29 :  completed - Electric Sun Fest
08-Jul-24 03:53:29 :  completed - Babasónicos
08-Jul-24 03:53:30 :  completed - Ari Abdul
08-Jul-24 03:53:30 :  completed - Terror + Lifesick
08-Jul-24 03:53:30 :  completed - Soulfly
08-Jul-24 03:53:30 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:30 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:30 :  completed - Electric Sun Fest
08-Jul-24 03:53:30 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:31 :  completed - Electric Sun Fest
08-Jul-24 03:53:31 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:31 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:31 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:32 :  completed - Electric Sun Fest
08-Jul-24 03:53:32 :  completed - Babasónicos
08-Jul-24 03:53:32 :  completed - Ari Abdul
08-Jul-24 03:53:32 :  completed - Soulfly
08-Jul-24 03:53:32 :  completed - Terror + Lifesick
08-Jul-24 03:53:33 :  completed - Ari Abdul
08-Jul-24 03:53:33 :  completed - Terror + Lifesick
08-Jul-24 03:53:33 :  completed - Babasónicos
08-Jul-24 03:53:33 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:33 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:33 :  completed - Electric Sun Fest
08-Jul-24 03:53:33 :  completed - Soulfly
08-Jul-24 03:53:33 :  completed - Electric Sun Fest
08-Jul-24 03:53:34 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:35 :  completed - Babasónicos
08-Jul-24 03:53:35 :  completed - Electric Sun Fest
08-Jul-24 03:53:35 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:35 :  completed - Ari Abdul
08-Jul-24 03:53:35 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:35 :  completed - Electric Sun Fest
08-Jul-24 03:53:35 :  completed - Terror + Lifesick
08-Jul-24 03:53:35 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:35 :  completed - Soulfly
08-Jul-24 03:53:36 :  completed - Electric Sun Fest
08-Jul-24 03:53:36 :  completed - Electric Sun Fest
08-Jul-24 03:53:36 :  completed - Babasónicos
08-Jul-24 03:53:36 :  completed - Babasónicos Ekstrakoncert
08-Jul-24 03:53:36 :  completed - Soulfly
08-Jul-24 03:53:36 :  completed - Ari Abdul
08-Jul-24 03:53:37 :  completed - Afroace &#038; Rumba
08-Jul-24 03:53:37 :  completed - Terror + Lifesick
08-Jul-24 03:53:37 :  completed - Boldy James + The Alchemist
08-Jul-24 03:53:39 :  completed - Blonde Redhead
08-Jul-24 03:53:39 :  completed - Varg2TM
08-Jul-24 03:53:39 :  completed - Cro-Mags
08-Jul-24 03:53:39 :  completed - Ty Segall
08-Jul-24 03:53:40 :  completed - Randall King
08-Jul-24 03:53:40 :  completed - Left To Die + Incantation
08-Jul-24 03:53:40 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:40 :  completed - Show Me The Body
08-Jul-24 03:53:40 :  completed - Avi Kaplan
08-Jul-24 03:53:41 :  completed - Avi Kaplan
08-Jul-24 03:53:41 :  completed - Cro-Mags
08-Jul-24 03:53:41 :  completed - Left To Die + Incantation
08-Jul-24 03:53:41 :  completed - Ty Segall
08-Jul-24 03:53:41 :  completed - Show Me The Body
08-Jul-24 03:53:41 :  completed - Blonde Redhead
08-Jul-24 03:53:41 :  completed - Randall King
08-Jul-24 03:53:41 :  completed - Varg2TM
08-Jul-24 03:53:42 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:42 :  completed - Varg2TM
08-Jul-24 03:53:43 :  completed - Left To Die + Incantation
08-Jul-24 03:53:43 :  completed - Ty Segall
08-Jul-24 03:53:43 :  completed - Cro-Mags
08-Jul-24 03:53:43 :  completed - Blonde Redhead
08-Jul-24 03:53:43 :  completed - Show Me The Body
08-Jul-24 03:53:43 :  completed - Avi Kaplan
08-Jul-24 03:53:43 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:43 :  completed - Randall King
08-Jul-24 03:53:45 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:45 :  completed - Blonde Redhead
08-Jul-24 03:53:45 :  completed - Cro-Mags
08-Jul-24 03:53:45 :  completed - Left To Die + Incantation
08-Jul-24 03:53:45 :  completed - Show Me The Body
08-Jul-24 03:53:45 :  completed - Varg2TM
08-Jul-24 03:53:45 :  completed - Randall King
08-Jul-24 03:53:45 :  completed - Avi Kaplan
08-Jul-24 03:53:45 :  completed - Ty Segall
08-Jul-24 03:53:46 :  completed - Avi Kaplan
08-Jul-24 03:53:46 :  completed - Varg2TM
08-Jul-24 03:53:46 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:46 :  completed - Cro-Mags
08-Jul-24 03:53:46 :  completed - Blonde Redhead
08-Jul-24 03:53:46 :  completed - Ty Segall
08-Jul-24 03:53:46 :  completed - Show Me The Body
08-Jul-24 03:53:47 :  completed - Left To Die + Incantation
08-Jul-24 03:53:47 :  completed - Randall King
08-Jul-24 03:53:48 :  completed - Varg2TM
08-Jul-24 03:53:48 :  completed - Cro-Mags
08-Jul-24 03:53:48 :  completed - Left To Die + Incantation
08-Jul-24 03:53:48 :  completed - Randall King
08-Jul-24 03:53:48 :  completed - Avi Kaplan
08-Jul-24 03:53:48 :  completed - Show Me The Body
08-Jul-24 03:53:48 :  completed - Ty Segall
08-Jul-24 03:53:48 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:48 :  completed - Blonde Redhead
08-Jul-24 03:53:49 :  completed - Randall King
08-Jul-24 03:53:49 :  completed - Ty Segall
08-Jul-24 03:53:49 :  completed - Varg2TM
08-Jul-24 03:53:49 :  completed - Show Me The Body
08-Jul-24 03:53:50 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:50 :  completed - Blonde Redhead
08-Jul-24 03:53:50 :  completed - Cro-Mags
08-Jul-24 03:53:50 :  completed - Avi Kaplan
08-Jul-24 03:53:50 :  completed - Left To Die + Incantation
08-Jul-24 03:53:51 :  completed - Left To Die + Incantation
08-Jul-24 03:53:51 :  completed - BODYSLAM! Wrestling
08-Jul-24 03:53:51 :  completed - Varg2TM
